👶Kids,#genre#
Peppa Pig,https://ytm2.yuanhsing.cf/PeppaPig.m3u8
Lion Family,https://ytm2.yuanhsing.cf/LionFamily.m3u8
Lion Family English,https://ytm2.yuanhsing.cf/LionFamily2.m3u8
Masha and the Bear,https://ytm2.yuanhsing.cf/MashaandtheBear.m3u8
Masha and the Bear2,https://ytm2.yuanhsing.cf/MashaandtheBear2.m3u8
Wolfoo's stories,https://ytm2.yuanhsing.cf/Wolfoosstories.m3u8
Pea Pea Korea,https://ytm2.yuanhsing.cf/PeaPeaKorea.m3u8
Oddbods & FRIENDS,https://ytm2.yuanhsing.cf/OddbodsFRIENDS.m3u8
CANDY CRUSH,https://ytm2.yuanhsing.cf/CANDYCRUSH.m3u8
Hogi! Pinkfong,https://ytm2.yuanhsing.cf/HOGI.m3u8
Antiks Cartoons,https://ytm2.yuanhsing.cf/AntiksOfficial.m3u8
Loco Nuts,https://ytm2.yuanhsing.cf/LocoNutsCartoonVideos.m3u8
Get Movies,https://ytm2.yuanhsing.cf/GetMovies.m3u8
Baby Shark Doo Doo Doo,https://ytm2.yuanhsing.cf/BabySharkOfficial.m3u8
Talking Tom Heroes Adventures,https://ytm2.yuanhsing.cf/TalkingTomHeroes.m3u8
Booba,https://ytm2.yuanhsing.cf/BoobaCartoon.m3u8
Oko Lele,https://ytm2.yuanhsing.cf/OkoLeleOfficialchannel.m3u8

🦄Music,#genre#
ARIRANG K-POP,https://ytm2.yuanhsing.cf/arirangworld.m3u8
ALL THE K-POP,https://ytm2.yuanhsing.cf/ALLTHEKPOP.m3u8
The K-POP,https://ytm2.yuanhsing.cf/TheKPOP.m3u8
The K-POP2,https://ytm2.yuanhsing.cf/TheKPOP2.m3u8
Cafe Music BGM channel,https://ytm2.yuanhsing.cf/CafeMusicBGMchannel.m3u8
Green Music BGM channel,https://ytm2.yuanhsing.cf/GreenMusicBGMchannel.m3u8
Hawaiian Music BGM channel,https://ytm2.yuanhsing.cf/HawaiianMusicBGMchannel.m3u8

🐳Live,#genre#
NatureRelax4K,https://ytm2.yuanhsing.cf/NatureRelax4K.m3u8
RELAXTIME,https://ytm2.yuanhsing.cf/RELAXTIME0.m3u8
RailWay,https://ytm2.yuanhsing.cf/RailWay.m3u8
RailCowGirl,https://ytm2.yuanhsing.cf/RailCowGirl.m3u8

🎨TV Dramas,#genre#
Justice Pao,https://ytm2.yuanhsing.cf/ctsprog.m3u8
GTV DRAMA,https://ytm2.yuanhsing.cf/GTVDRAMA.m3u8
Formosa TV Dramas,https://ytm2.yuanhsing.cf/FTVDRAMA.m3u8

⛱️TV Variety,#genre#
CTS SHOW,https://ytm2.yuanhsing.cf/TBSCTSSHOW.m3u8
Faintv VARIETY1,https://ytm2.yuanhsing.cf/AsiaDigitalMedia.m3u8
Faintv VARIETY2,https://ytm2.yuanhsing.cf/Faintv.m3u8

🎡Taiwan News,#genre#
CTITV News,https://ytm2.yuanhsing.cf/ctitv.m3u8
EBC,https://ytm2.yuanhsing.cf/newsebc.m3u8
EBC Financial,https://ytm2.yuanhsing.cf/EBCFinancial.m3u8
TVBS Global News,https://ytm2.yuanhsing.cf/TVBSNEWS01.m3u8
Global News TV,https://ytm2.yuanhsing.cf/GlobalNewsTV.m3u8
mnews,https://ytm2.yuanhsing.cf/mnews.m3u8
TTV News,https://ytm2.yuanhsing.cf/ttvnewsview.m3u8
CTV News,https://ytm2.yuanhsing.cf/twctvnews.m3u8
Tzu Chi DaAiVideo,https://ytm2.yuanhsing.cf/DaAiVideo.m3u8
SETN Live News,https://ytm2.yuanhsing.cf/SETN.m3u8
SET+ Live News,https://ytm2.yuanhsing.cf/SETLIVE.m3u8
SET iNEWS,https://ytm2.yuanhsing.cf/setmoney159.m3u8
Formosa Live News,https://ytm2.yuanhsing.cf/FTVLIVE.m3u8
Formosa TV News,https://ytm2.yuanhsing.cf/FTVCP.m3u8
